CONTROLLED 2048 single:Fyra:Kopita {'battles': 32, 'wins': 26, 'losses': 6, 'draws': 0, 'round_cap': 0, 'phases': 64} 54.1s
CONTROLLED 2080 single:Fyra:Tumler {'battles': 32, 'wins': 8, 'losses': 24, 'draws': 0, 'round_cap': 0, 'phases': 64} 54.5s
CONTROLLED 2112 single:Fyra:Kurchin {'battles': 32, 'wins': 16, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 88} 55.1s
CONTROLLED 2144 single:Fyra:Muno {'battles': 32, 'wins': 2, 'losses': 30, 'draws': 0, 'round_cap': 0, 'phases': 64} 55.3s
CONTROLLED 2176 single:Fyra:Dotra {'battles': 32, 'wins': 2, 'losses': 30, 'draws': 0, 'round_cap': 0, 'phases': 64} 55.8s
CONTROLLED 2208 single:Fyra:Sooge {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 66} 56.2s
CONTROLLED 2240 single:Fyra:Sinodek {'battles': 32, 'wins': 14, 'losses': 18, 'draws': 0, 'round_cap': 0, 'phases': 48} 56.4s
CONTROLLED 2272 single:Kopita:Tumler {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 56.9s
CONTROLLED 2304 single:Kopita:Kurchin {'battles': 32, 'wins': 20, 'losses': 12, 'draws': 0, 'round_cap': 0, 'phases': 154} 57.8s
CONTROLLED 2336 single:Kopita:Muno {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 58.2s
CONTROLLED 2368 single:Kopita:Dotra {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 58.7s
CONTROLLED 2400 single:Kopita:Sooge {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 86} 59.0s
CONTROLLED 2432 single:Kopita:Sinodek {'battles': 32, 'wins': 20, 'losses': 12, 'draws': 0, 'round_cap': 0, 'phases': 88} 59.5s
CONTROLLED 2464 single:Tumler:Kurchin {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 124} 60.3s
CONTROLLED 2496 single:Tumler:Muno {'battles': 32, 'wins': 20, 'losses': 10, 'draws': 2, 'round_cap': 0, 'phases': 64} 60.9s
CONTROLLED 2528 single:Tumler:Dotra {'battles': 32, 'wins': 22, 'losses': 8, 'draws': 2, 'round_cap': 0, 'phases': 64} 61.5s
CONTROLLED 2560 single:Tumler:Sooge {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 70} 61.9s
CONTROLLED 2592 single:Tumler:Sinodek {'battles': 32, 'wins': 24, 'losses': 8, 'draws': 0, 'round_cap': 0, 'phases': 64} 62.3s
CONTROLLED 2624 single:Kurchin:Muno {'battles': 32, 'wins': 6, 'losses': 26, 'draws': 0, 'round_cap': 0, 'phases': 114} 63.2s
CONTROLLED 2656 single:Kurchin:Dotra {'battles': 32, 'wins': 14, 'losses': 18, 'draws': 0, 'round_cap': 0, 'phases': 136} 64.9s
CONTROLLED 2688 single:Kurchin:Sooge {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 146} 66.5s
CONTROLLED 2720 single:Kurchin:Sinodek {'battles': 32, 'wins': 22, 'losses': 10, 'draws': 0, 'round_cap': 0, 'phases': 124} 67.8s
CONTROLLED 2752 single:Muno:Dotra {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 68.1s
CONTROLLED 2784 single:Muno:Sooge {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 70} 68.8s
CONTROLLED 2816 single:Muno:Sinodek {'battles': 32, 'wins': 24, 'losses': 8, 'draws': 0, 'round_cap': 0, 'phases': 64} 69.3s
CONTROLLED 2848 single:Dotra:Sooge {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 70} 70.1s
CONTROLLED 2880 single:Dotra:Sinodek {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 64} 70.6s
CONTROLLED 2912 single:Sooge:Sinodek {'battles': 32, 'wins': 14, 'losses': 18, 'draws': 0, 'round_cap': 0, 'phases': 116} 71.2s
