batch,mode,variant,unit,battles,summons,bodies,hp_damage,structure_damage,friendly_damage,armor_damage,hp_taken,armor_absorbed,blocked_damage,evaded_damage,attacks,landed_hits,melee_hits,kills,regular_kills,monster_kills,deaths,banished,goals,survivors,healing,regeneration,charms,poisons,portals,enemy_banishments,friendly_banishments,structures_built,tower_damage,retargets,first_hit_tick,hit_bodies,mean_first_hit_tick
tumler,mixed,direct_hunt,Vulture,96,192,1.0,5.7656,1.026,0.0,3.901,3.3542,0.7188,0.0,0.0,11.8021,10.6927,0.8125,0.9323,0.5312,0.401,0.526,0.0104,0.4635,0.0,0.0,0.6146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.2083,0.9896,278.11
tumler,mixed,direct_hunt,Wright,96,192,1.0,2.8698,0.5417,0.0,0.7865,4.1354,1.6979,0.0,0.0,4.2083,4.1979,4.1979,0.6458,0.5,0.1458,0.7604,0.0052,0.2344,0.0,0.0,0.2344,0.0,0.0,0.0,0.0,0.0,0.9948,0.0,0.0,455.5729,0.8854,514.53
tumler,mixed,direct_hunt_armor3,Butcher,96,192,1.0,5.1771,0.3073,0.0,2.9323,4.9271,0.9896,0.0,0.0,3.3802,3.1823,3.1823,1.1146,0.6146,0.5,0.9115,0.0104,0.0781,0.0,0.0,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.7969,0.9844,278.14
tumler,mixed,direct_hunt_armor3,Dotra,38,38,1.0,7.7105,1.3421,0.0,4.6053,3.5789,4.4474,0.0,0.0,6.7632,6.6842,6.2632,1.3158,1.0,0.3158,0.5789,0.0,0.4211,0.0,0.0,0.5263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.6579,0.9474,297.31
tumler,mixed,direct_hunt_armor3,Fyra,38,38,1.0,3.4737,0.0,0.0,4.8158,5.3684,4.0,0.0,0.0,4.3947,4.2368,4.2368,0.4211,0.1842,0.2368,1.0,0.0,0.0,0.0,0.0,0.3684,0.7105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.5,1.0,194.5
tumler,mixed,direct_hunt_armor3,Kopita,38,38,1.0,4.4211,0.8158,0.0,2.3684,4.3421,3.5789,0.0,0.0,4.2368,4.2368,4.0263,1.2368,0.5789,0.6579,0.7632,0.0,0.2368,0.0,0.7368,0.3421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.9737,0.9737,450.84
tumler,mixed,direct_hunt_armor3,Kurchin,40,40,1.0,3.925,0.1,0.0,1.05,5.0,8.775,0.0,0.0,5.125,5.075,5.075,0.925,0.6,0.325,0.925,0.0,0.075,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.475,0.975,419.97
tumler,mixed,direct_hunt_armor3,Lemek,40,40,1.0,10.225,0.725,0.0,6.8,5.025,6.925,0.0,0.0,6.95,6.675,6.675,1.925,1.275,0.65,0.825,0.0,0.175,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.975,1.0,258.98
tumler,mixed,direct_hunt_armor3,Muno,38,38,1.0,5.9737,0.0,0.0,6.5263,5.0,4.0,0.0,0.0,5.2105,4.7895,3.7105,1.7368,0.2632,1.4737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,1.0,213.0
tumler,mixed,direct_hunt_armor3,Penitent,96,192,1.0,2.224,0.2292,0.0,1.0781,4.0573,2.4531,0.8281,0.0,3.5573,3.5312,3.5312,0.3906,0.2188,0.1719,0.75,0.0365,0.2135,0.0,0.0,0.3021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.8229,0.8333,389.79
